pph age;pph altitude;ac altitude;different relief ac pph;pph distance;PPH SEXE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE;AC ECOLE VOL LIBRE;AC 0 BI VOL LIBRE;AC TYPE VOL VOL LIBRE;AC SITE CONNAISSAE VOL LIBRE;AC TYPE AILE VOL LIBRE;AC SURFACE AILE;AC AILE HOMOLOGATION PARAPENTE;AC SELLETTE PROTECTION PARAPENTE;AC NOMBRE DE JOUR DEPUIS LE D2BUT DE l'ANNEE;AC HEURE;Saison;AC ETAT ASSURE
70;2597;913;0;53;0;100;4;2;3;3;1;0;4;3;1;25;-1;3;258;17;3;0
41;183;1123;1;144;0;0;4;3;3;3;1;0;6;4;1;25;1;3;262;10;3;2
68;44;968;1;109;0;0;3;4;2;2;1;0;4;3;1;27;3;2;265;16;3;2
45;1210;1362;0;10;1;0;3;4;0;2;1;0;4;3;1;25;0;2;267;12;3;2
67;295;0;0;48;0;12;4;3;2;2;1;0;4;0;1;25;0;2;271;17;3;2
29;206;445;0;198;0;20;3;4;1;2;1;0;5;1;1;23;2;2;276;15;3;1
72;404;1552;1;55;0;50;3;2;2;2;1;0;5;1;1;25;3;2;278;14;3;1
27;450;1362;1;48;0;0;1;4;0;2;1;0;4;3;1;23;2;2;265;11;3;2
55;139;1362;1;479;0;50;4;2;0;2;1;0;4;3;1;25;3;3;278;14;3;2
35;1172;1063;0;85;0;30;4;4;1;2;1;0;6;4;1;24;3;3;250;18;3;1
64;44;135;0;122;0;5;4;2;3;3;1;0;4;3;1;23;-1;2;291;16;3;1
63;1616;902;0;23;0;20;3;2;0;1;1;0;5;1;1;26;0;2;292;14;3;2
44;1552;1552;0;0;0;0;4;3;3;3;1;0;4;3;1;23;0;3;297;16;3;0
68;1757;1123;0;213;0;15;4;4;2;1;1;0;4;4;1;28;2;2;292;10;3;0
31;145;520;0;71;0;20;1;3;0;1;1;0;4;2;1;25;2;2;296;15;3;1
50;243;308;0;28;0;60;4;3;3;3;1;0;7;3;1;24;2;1;306;12;3;1
47;145;772;0;73;0;40;4;2;3;3;1;0;4;3;1;25;3;2;306;17;3;2
44;13;8;0;15855;0;180;3;2;3;3;1;0;5;4;1;27;-1;2;313;16;3;0
62;58;568;0;2770;0;20;4;4;2;2;1;0;4;1;1;25;3;2;13;11;0;2
46;585;905;1;8;0;150;4;3;3;3;1;1;4;3;2;41;3;2;15;10;0;2
42;965;965;0;0;0;400;4;3;3;3;1;2;4;3;2;42;1;3;24;10;0;0
39;1776;1801;0;8;0;400;4;3;3;3;1;1;7;3;2;42;3;2;25;14;0;1
61;91;244;0;26;0;31;3;3;0;1;1;0;4;4;1;25;2;3;38;15;0;1
37;89;348;0;33;0;15;3;2;0;1;1;0;4;3;1;28;2;2;38;16;0;0
40;1801;1801;0;0;0;100;4;3;3;3;1;1;7;3;2;42;3;2;45;10;0;1
34;913;1110;0;2223;0;400;4;3;3;3;1;0;6;2;1;22;1;4;67;13;1;1
56;1379;1041;0;6986;0;130;4;3;3;3;1;0;4;4;1;26;5;3;48;15;0;1
40;223;223;0;0;0;50;3;3;0;3;1;0;6;3;1;26;5;3;77;15;1;2
65;22;95;0;52;0;12;4;3;3;3;1;0;4;4;1;23;3;2;76;14;1;2
57;1983;1703;0;14;0;10;4;4;3;3;1;0;4;4;1;25;2;3;82;13;1;1
57;97;470;0;16;0;50;3;4;2;2;1;0;4;4;1;24;3;2;81;17;1;2
53;262;308;0;39;0;10;4;2;3;3;1;0;6;4;1;25;0;3;88;16;1;2
33;1143;1143;0;0;0;150;4;3;3;3;1;0;4;3;1;18;2;2;99;16;1;2
64;84;289;0;130;0;20;4;4;2;0;1;0;4;4;1;26;3;3;78;13;1;2
39;43;61;0;35;0;70;2;2;0;1;1;0;4;4;1;28;2;3;109;17;1;1
73;965;965;0;0;0;0;4;3;2;2;1;0;4;3;1;25;3;3;117;11;1;2
50;1155;431;1;24;0;0;4;2;3;3;1;0;6;3;1;25;3;1;120;17;1;2
64;110;328;0;22;0;155;3;3;3;3;1;0;4;3;1;28;3;2;126;14;1;2
87;49;368;0;1469;0;20;4;3;2;2;1;0;5;3;1;25;-1;2;129;19;1;2
59;44;22;0;34;0;25;2;3;1;1;1;0;4;2;1;28;2;2;143;16;1;0
63;1581;784;1;120;0;50;4;2;2;3;1;0;5;4;1;23;3;3;142;15;1;2
53;584;268;0;19;0;30;4;4;3;3;1;0;6;4;1;29;-1;2;142;17;1;1
40;1379;47;1;562;0;350;4;3;2;3;1;0;4;3;1;22;-1;3;145;18;1;0
59;331;268;0;23;0;40;4;2;3;3;1;0;7;4;1;24;3;2;151;16;2;2
44;35;1379;1;477;0;20;4;3;1;1;1;0;8;3;1;28;2;3;150;10;1;1
54;1779;1581;0;80;0;200;4;3;3;3;1;0;6;3;1;23;1;3;141;15;1;2
53;102;436;0;374;0;40;4;4;3;3;1;0;4;1;1;26;-1;3;154;13;2;1
84;885;270;1;25;0;90;4;3;0;1;1;0;4;3;1;25;0;2;164;16;2;2
51;28;433;0;22;0;50;4;2;3;3;1;0;4;3;1;26;5;3;164;18;2;2
37;244;215;0;8;0;110;3;3;0;2;1;0;4;1;1;24;3;3;176;19;2;0
54;988;1757;0;10;1;120;4;3;3;3;1;1;4;3;2;39;3;1;181;9;2;1
41;450;450;0;0;1;0;2;4;0;1;1;0;4;2;1;25;2;1;187;17;2;0
42;220;939;1;25;0;69;4;3;3;3;1;0;4;3;1;25;3;2;184;13;2;2
41;334;334;0;0;0;50;4;3;3;3;1;0;4;3;1;24;5;3;188;20;2;2
20;729;0;0;5261;0;150;3;3;3;3;1;0;4;3;1;17;0;3;190;15;2;1
31;368;349;0;68;0;5;4;4;2;2;1;0;4;3;1;28;3;2;172;16;2;1
48;331;913;1;296;0;80;4;2;3;3;1;0;8;4;1;23;5;3;190;15;2;0
62;183;1075;1;43;0;4;4;2;3;3;1;0;6;4;1;26;3;3;166;10;2;2
65;450;1022;1;27;0;140;4;3;3;3;1;0;8;1;1;24;0;3;193;15;2;0
