;PPH AGE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE
217;27;80;4;2;3;3
218;52;31;4;4;3;3
219;53;200;4;3;3;3
220;32;50;3;4;2;3
221;31;150;4;3;3;3
222;64;500;4;3;3;3
223;61;85;4;3;3;3
224;50;25;4;3;0;2
225;67;200;4;3;3;3
226;39;250;4;3;3;3
227;55;0;1;3;0;0
228;21;0;1;2;1;1
229;50;250;4;3;3;3
230;26;50;1;3;1;2
231;48;92;4;4;2;3
232;63;20;4;2;0;1
233;44;42;1;2;1;1
234;47;300;4;3;3;3
235;44;200;4;3;3;3
236;37;20;3;2;1;2
237;32;105;4;2;3;3
238;35;110;4;3;3;3
239;53;80;4;2;3;2
240;58;30;3;2;0;2
241;51;250;4;3;3;3
242;70;90;3;3;2;3
243;48;30;2;3;2;2
244;35;42;4;3;2;2
245;43;30;4;4;2;1
246;39;100;2;3;0;2
247;25;0;1;3;0;1
248;28;57;3;3;0;3
249;57;10;1;2;1;1
250;29;300;4;3;3;3
251;40;0;1;3;1;1
252;29;105;3;2;3;3
253;57;15;4;2;1;3
254;66;60;4;4;2;3
255;42;100;4;3;2;2
256;55;80;3;4;0;3
257;20;10;1;4;0;1
258;49;200;4;3;3;3
259;30;0;1;3;0;1
260;48;50;4;2;3;3
261;60;10;4;2;3;1
262;29;200;4;3;3;3
263;71;50;4;3;3;3
264;53;50;4;2;3;3
265;19;0;2;3;1;2
266;30;200;4;3;3;3
267;55;50;4;2;3;3
268;55;140;4;3;3;3
269;32;30;3;2;1;1
270;36;20;3;2;3;3
271;44;10;4;4;2;3
272;20;0;2;4;0;1
273;44;20;1;3;2;2
274;30;0;1;2;1;3
275;73;15;4;4;3;3
276;35;80;4;3;3;3
277;57;150;4;3;3;3
278;29;300;4;4;3;3
279;65;81;4;2;2;2
280;37;20;1;2;0;1
281;62;50;4;3;2;3
282;58;20;2;4;0;1
283;34;22;4;3;3;3
284;28;12;2;2;0;2
285;54;30;4;3;3;3
286;55;100;4;3;3;3
287;36;200;4;3;3;3
288;59;54;4;2;3;3
289;43;200;4;3;3;3
290;41;300;4;3;3;3
291;47;200;4;3;3;3
292;62;90;4;3;3;3
